epoch,jacc_coef,learning_rate,loss,val_jacc_coef,val_loss
0,0.38061198592185974,9.999999747378752e-05,0.3806118667125702,0.48572197556495667,0.48572179675102234
1,0.3125620484352112,9.999999747378752e-05,0.3125620484352112,0.2253020703792572,0.22530212998390198
2,0.28141066431999207,9.999999747378752e-05,0.2814106047153473,0.37546205520629883,0.37546196579933167
3,0.25191396474838257,9.999999747378752e-05,0.2519139349460602,0.2379385232925415,0.2379385381937027
4,0.23241615295410156,9.999999747378752e-05,0.2324160933494568,0.24795910716056824,0.247959166765213
5,0.2308511734008789,9.999999747378752e-05,0.23085114359855652,0.20085543394088745,0.20085547864437103
6,0.21602407097816467,9.999999747378752e-05,0.21602395176887512,0.1986711174249649,0.1986711174249649
7,0.19986861944198608,9.999999747378752e-05,0.19986870884895325,0.22209492325782776,0.22209490835666656
8,0.19478106498718262,9.999999747378752e-05,0.1947808414697647,0.17368848621845245,0.17368850111961365
9,0.18894639611244202,9.999999747378752e-05,0.1889464408159256,0.16671817004680634,0.16671819984912872
10,0.19719605147838593,9.999999747378752e-05,0.1971961408853531,0.16508956253528595,0.16508954763412476
11,0.18274693191051483,9.999999747378752e-05,0.18274687230587006,0.1518067568540573,0.15180669724941254
12,0.18344834446907043,9.999999747378752e-05,0.18344829976558685,0.18441064655780792,0.1844106763601303
13,0.18189819157123566,9.999999747378752e-05,0.18189802765846252,0.17293862998485565,0.17293858528137207
14,0.18198223412036896,9.999999747378752e-05,0.18198223412036896,0.20731624960899353,0.2073162943124771
15,0.17318691313266754,9.999999747378752e-05,0.1731870174407959,0.17832328379154205,0.17832325398921967
16,0.1785401701927185,9.999999747378752e-05,0.17854033410549164,0.21238434314727783,0.2123844027519226
17,0.17560042440891266,9.999999747378752e-05,0.17560046911239624,0.3026735186576843,0.3026736378669739
18,0.17068663239479065,9.999999747378752e-05,0.17068658769130707,0.26763808727264404,0.26763811707496643
19,0.16638273000717163,9.999999747378752e-05,0.16638275980949402,0.15195690095424652,0.15195690095424652
20,0.16396380960941315,9.999999747378752e-05,0.16396375000476837,0.13972246646881104,0.13972249627113342
21,0.16214710474014282,9.999999747378752e-05,0.16214719414710999,0.15335670113563538,0.15335668623447418
22,0.1648002415895462,9.999999747378752e-05,0.16480030119419098,0.21973171830177307,0.21973170340061188
23,0.15767773985862732,9.999999747378752e-05,0.1576775759458542,0.13937081396579742,0.1393708437681198
24,0.15961463749408722,9.999999747378752e-05,0.15961459279060364,0.3072957992553711,0.30729588866233826
25,0.15710102021694183,9.999999747378752e-05,0.1571010947227478,0.190835639834404,0.19083565473556519
26,0.17029134929180145,9.999999747378752e-05,0.17029131948947906,0.2288988083600998,0.22889885306358337
27,0.14961382746696472,9.999999747378752e-05,0.14961375296115875,0.1632169485092163,0.16321693360805511
28,0.15968726575374603,9.999999747378752e-05,0.15968720614910126,0.1748901754617691,0.17489011585712433
29,0.14981135725975037,9.999999747378752e-05,0.14981138706207275,0.25303372740745544,0.25303369760513306
30,0.15530304610729218,9.999999747378752e-05,0.15530289709568024,0.1513041853904724,0.1513042002916336
31,0.15488314628601074,9.999999747378752e-05,0.15488317608833313,0.20972557365894318,0.20972567796707153
32,0.15402786433696747,9.999999747378752e-05,0.15402783453464508,0.18028008937835693,0.18028004467487335
